qid,gt,pred_label,pred_sent
2259,1,1,no
2261,1,1,no
2263,1,1,no
2268,10,255,anterior cerebrum
2269,10,10,axial
2311,0,0,yes
2313,0,0,yes
2318,1,1,no
2320,1,1,no
2328,28,8,brain
2333,1,1,no
2335,1,1,no
2349,0,0,yes
2352,144,144,4th ventricle
2369,1,0,yes
2371,0,1,no
2372,0,0,yes
2377,1,1,no
2381,1,1,no
2383,1,1,no
2406,1,1,no
2408,1,0,yes
2420,0,0,yes
2425,283,283,ascending colon
2428,0,249,bilateral frontal lobes and body of corpus callosum
2430,0,0,yes
2448,1,0,yes
2452,1,1,no
2458,40,40,right
2465,0,0,yes
2475,0,0,yes
2479,0,0,yes
2481,290,186,3.4 cm
2509,1,1,no
2515,0,0,yes
2520,1,1,no
2524,1,1,no
2538,0,1,no
2545,0,0,yes
2546,0,1,no
2552,86,247,left rectus abdominus
2554,299,0,yes
2563,1,1,no
2568,1,1,no
2581,300,19,pancreas
2586,0,0,yes
2592,1,1,no
2594,0,0,yes
2596,1,1,no
2598,0,1,no
2600,10,10,axial
2607,1,1,no
2617,235,268,thalami left occipital lobe brainstem and left cerebellum
2623,303,114,lateral ventricles
2627,304,17,diffuse
2632,1,1,no
2642,1,1,no
2652,0,1,no
2660,1,1,no
2662,309,82,left
2682,0,1,no
2702,1,1,no
2710,1,1,no
2714,1,0,yes
2716,18,18,ct
2721,0,1,no
2724,1,0,yes
2726,1,1,no
2731,1,0,yes
2735,63,326,underneath right hemidiaphragm
2741,315,315,right of midline superior to right hilum
2745,1,1,no
2752,317,280,6.5 x 6.2 x 8.8cm
2770,71,63,right side
2771,24,370,necrosis
2788,0,0,yes
2790,0,0,yes
2817,0,1,no
2818,0,0,yes
2821,311,311,stomach
2823,311,311,stomach
2834,0,0,yes
2837,0,0,yes
2839,0,0,yes
2845,1,0,yes
2878,334,0,yes
2880,334,334,motion
2902,10,324,flair
2903,10,148,air
2904,0,0,yes
2905,0,0,yes
2938,324,324,flair
2939,173,18,ct
2940,339,221,calcification
2942,339,339,calcified atherosclerosis
2949,0,0,yes
2952,0,0,yes
2954,0,0,yes
2970,188,188,t2 weighted
2987,343,346,right sided pleural effusion
2989,343,1,no
3001,1,1,no
3003,1,1,no
3015,347,432,cardiopulmonary
3017,347,10,axial
3026,235,18,ct
3027,235,18,ct
3030,10,10,axial
3055,1,1,no
3057,1,1,no
3059,1,1,no
3061,1,1,no
3084,356,356,proximal aspect of appendix
3086,356,1,no
3132,0,0,yes
3136,1,1,no
3138,1,1,no
