qid,gt,pred_label,pred_sent
2269,10,10,axial
2311,0,0,yes
2313,0,0,yes
2318,1,1,no
2320,1,1,no
2328,28,160,aorta
2333,1,1,no
2335,1,1,no
2349,0,1,no
2352,144,144,4th ventricle
2369,1,0,yes
2371,0,1,no
2372,0,0,yes
2377,1,1,no
2381,1,1,no
2383,1,1,no
2406,1,1,no
2408,1,1,no
2420,0,0,yes
2425,283,41,abscess
2428,0,434,sharp costophrenic angles
2430,0,0,yes
2448,1,1,no
2452,1,1,no
2458,40,436,horsehoe kidney
2465,0,0,yes
2475,0,0,yes
2479,0,0,yes
2481,290,205,choroid plexus
2509,1,1,no
2515,0,0,yes
2520,1,1,no
2524,1,1,no
2538,0,0,yes
2545,0,0,yes
2546,0,0,yes
2552,86,195,dwi
2554,299,18,ct
2563,1,1,no
2568,1,1,no
2581,300,19,pancreas
2586,0,0,yes
2592,1,1,no
2594,0,0,yes
2596,1,0,yes
2598,0,1,no
2600,10,10,axial
2607,1,1,no
2617,235,324,flair
2623,303,114,lateral ventricles
2627,304,183,cerebellum
2632,1,1,no
2642,1,1,no
2652,0,1,no
2660,1,1,no
2662,309,170,cardiac region
2682,0,0,yes
2702,1,1,no
2710,1,1,no
2714,1,1,no
2716,18,18,ct
2721,0,1,no
2724,1,0,yes
2726,1,1,no
2731,1,0,yes
2735,63,316,in midline
2741,315,40,right
2745,1,1,no
2752,317,324,flair
2770,71,17,diffuse
2771,24,89,right lobe
2788,0,0,yes
2790,0,1,no
2817,0,0,yes
2818,0,0,yes
2821,311,210,intestine
2823,311,1,no
2834,0,1,no
2837,0,0,yes
2839,0,0,yes
2845,1,0,yes
2878,334,439,both sides
2880,334,324,flair
2902,10,10,axial
2903,10,10,axial
2904,0,0,yes
2905,0,0,yes
2938,324,324,flair
2939,173,10,axial
2940,339,123,fat
2942,339,259,hemorrhage
2949,0,0,yes
2952,0,0,yes
2954,0,0,yes
2970,188,10,axial
2987,343,335,diverticuli
2989,343,335,diverticuli
3001,1,1,no
3003,1,1,no
3015,347,453,infiltrative
3017,347,214,temporal lobe
3026,235,18,ct
3027,235,10,axial
3030,10,10,axial
3055,1,1,no
3057,1,1,no
3059,1,1,no
3061,1,1,no
3084,356,356,proximal aspect of appendix
3086,356,356,proximal aspect of appendix
3132,0,0,yes
3136,1,1,no
3138,1,1,no
