qid,gt,pred_label,pred_sent
2263,1,1,no
2268,10,252,mri flair
2269,10,10,axial
2311,0,1,no
2313,0,1,no
2318,1,1,no
2320,1,1,no
2328,28,8,brain
2333,1,1,no
2335,1,1,no
2349,0,1,no
2352,144,144,4th ventricle
2369,1,0,yes
2371,0,1,no
2372,0,0,yes
2377,1,1,no
2381,1,1,no
2383,1,1,no
2406,1,1,no
2408,1,0,yes
2420,0,0,yes
2425,283,70,left kidney
2428,0,0,yes
2430,0,0,yes
2448,1,1,no
2452,1,1,no
2458,40,40,right
2465,0,0,yes
2475,0,0,yes
2479,0,1,no
2481,290,82,left
2509,1,1,no
2515,0,0,yes
2520,1,0,yes
2524,1,1,no
2538,0,1,no
2545,0,0,yes
2546,0,1,no
2552,86,248,nipple location
2554,299,0,yes
2563,1,1,no
2568,1,1,no
2581,300,282,5cm
2586,0,0,yes
2592,1,1,no
2594,0,1,no
2596,1,1,no
2598,0,0,yes
2600,10,10,axial
2607,1,1,no
2617,235,235,mri
2623,303,124,medical process
2627,304,17,diffuse
2632,1,1,no
2642,1,1,no
2652,0,1,no
2660,1,1,no
2662,309,82,left
2682,0,0,yes
2702,1,1,no
2710,1,1,no
2714,1,0,yes
2716,18,18,ct
2721,0,0,yes
2724,1,1,no
2726,1,1,no
2731,1,0,yes
2735,63,0,yes
2741,315,315,right of midline superior to right hilum
2745,1,1,no
2752,317,280,6.5 x 6.2 x 8.8cm
2770,71,0,yes
2771,24,0,yes
2788,0,0,yes
2790,0,1,no
2817,0,0,yes
2818,0,0,yes
2821,311,311,stomach
2823,311,311,stomach
2834,0,0,yes
2837,0,0,yes
2839,0,0,yes
2845,1,1,no
2878,334,50,basal ganglia
2880,334,334,motion
2902,10,1,no
2903,10,324,flair
2904,0,0,yes
2905,0,0,yes
2938,324,324,flair
2939,173,327,posterior fossa
2940,339,181,sternal wires
2942,339,339,calcified atherosclerosis
2949,0,0,yes
2952,0,0,yes
2954,0,1,no
2970,188,341,right subdural hematoma
2987,343,343,soft tissue mass in region of terminal ileum with mesenteric lymphadenopathy
2989,343,263,fatty infiltration
3001,1,1,no
3003,1,1,no
3015,347,40,right
3017,347,347,cavum vergae
3026,235,0,yes
3027,235,0,yes
3030,10,10,axial
3055,1,1,no
3057,1,1,no
3059,1,1,no
3061,1,1,no
3084,356,356,proximal aspect of appendix
3086,356,356,proximal aspect of appendix
3132,0,0,yes
3136,1,1,no
3138,1,1,no
